"method","bias.baseline","rmse.baseline","bias.no_correlation","rmse.no_correlation","bias.no_interactive","rmse.no_interactive","bias.no_fixed","rmse.no_fixed","bias.only_noise","rmse.only_noise","bias.no_noise","rmse.no_noise","bias.gun_law","rmse.gun_law","bias.abort_law","rmse.abort_law","bias.periods_one","rmse.periods_one","bias.units_one","rmse.units_one","bias.unit_period_one","rmse.unit_period_one"
1,0.0212185687020728,0.0212185687020728,0.0235903116804774,0.165580391659165,0.0183390953474102,0.0269869139452504,0.00161497235697526,0.0155089411619262,0.00161496493618314,0.015515040446483,0.0014565125488388,0.0014565125488388,0.0114902591131585,0.0217580015128323,0.0137404103452641,0.0251004790356396,0.000844828267759149,0.0417416037459666,0.0829472324396882,0.10461586318233,0.00913088876990036,0.127051071919407
2,0.0116798297824523,0.0116798297824523,-0.0378919442186952,0.138182696177795,0.00772183311060836,0.0199465872711243,0.00113892144873887,0.0154134451504435,0.000756990267261477,0.0132110048381891,-1.03025014956467e-05,1.03025014956467e-05,0.00474608236378314,0.0201531051575234,0.00873082795034127,0.0238248459101167,0.00194693266904095,0.0500481980555385,0.0390328423493054,0.0602731402545,0.0111921716971024,0.1265160536594
3,0.0463461773461636,0.0463461773461636,0.0334260499118796,0.14181730400413,0.0451054513503784,0.0467786485127355,0.00177787332500004,0.0125260148777034,0.00177787332500012,0.0125260148777034,0.0433275780253783,0.0433275780253783,0.0407809269968812,0.0422349413013151,0.0432461822205995,0.0451947229176421,0.0325265124082636,0.049879440536539,0.125382899250539,0.130314081084567,0.0545260674703501,0.118891261848368
4,-0.026263484365047,0.026263484365047,-0.00851170144428118,0.17244725167913,-0.0113571691116357,0.0326812535441804,-0.000917810976812388,0.0152565035046281,-0.00091765183452645,0.0152563225661018,-0.00479645166847133,0.0154044709977869,0.0203709038802071,0.0385127062368501,-0.0157392067617804,0.0302599933379989,-0.00513780528193067,0.0426800842595953,-0.0188963580149826,0.0883476504246874,-0.0204731898385594,0.122629200154155
5,-0.0653230126498762,0.0653230126498762,-0.0908163191966005,0.373590072156569,-0.0468860631549279,0.0666383578044465,-0.00204833050543257,0.0348787076598642,-0.00204832797156428,0.0348786919615866,2.23597272308584e-07,2.23597272308584e-07,-0.0475618386541416,0.0699237449630037,-0.0471896724698036,0.075101915397433,-0.0321527307256833,0.118915899560732,-0.314816236354769,0.319675001157815,-0.22541510463852,0.254816958232469
6,-0.0374909137080617,0.0374909137080617,0.0109269022885373,0.305134727266426,0.00449605508068779,0.026270660371027,0.00409135846957303,0.0265009106794196,0.00205509487321696,0.0251287790371187,0.00110233637348681,0.0145759591033169,0.0069572739636657,0.0289134111611964,-0.00260437648527043,0.0223467101108591,-0.0075668013360261,0.0435876723235309,-0.00346125190706726,0.0618587534351301,-0.000624581012669603,0.109078928258554
